DATE,NAME,STATION,LATITUDE,LONGITUDE,DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD
2016-01-01,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,19.1,1.6,64.9,41.0,0.0,52.7,5.1
2016-01-02,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,20.1,2.1,64.9,43.0,0.0,54.8,4.1
2016-01-03,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,38.2,0.7,64.9,44.1,0.0,52.6,4.1
2016-01-04,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,44.1,1.1,69.1,44.1,0.0,59.3,5.1
2016-01-05,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,51.9,2.1,69.1,54.0,0.01,57.4,8.0
2016-01-06,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,47.5,2.1,59.0,46.0,1.61,51.4,8.9
2016-01-07,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,45.5,1.4,59.0,45.0,1.04,51.2,5.1
2016-01-08,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,38.1,2.1,62.1,44.1,0.06,53.2,7.0
2016-01-09,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,40.1,1.2,62.1,44.1,0.0,52.7,6.0
2016-01-10,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,47.6,0.8,62.1,46.0,0.0,55.2,4.1
2016-01-11,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,45.5,0.6,64.0,46.9,0.0,55.6,5.1
2016-01-12,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,33.6,1.2,70.0,46.0,0.0,55.2,7.0
2016-01-13,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,41.3,0.2,70.0,43.0,0.0,53.5,2.9
2016-01-14,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,50.2,1.1,66.0,43.0,0.0,57.6,4.1
2016-01-15,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,49.6,1.0,64.9,50.0,0.0,56.6,4.1
2016-01-16,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,51.6,0.9,66.9,50.0,0.0,59.3,5.1
2016-01-17,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,51.1,1.0,68.0,48.9,0.0,57.8,5.1
2016-01-18,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,54.1,1.3,68.0,48.9,0.0,57.9,5.1
2016-01-19,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,53.9,0.9,64.0,54.0,0.0,58.9,6.0
2016-01-20,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,55.8,0.7,69.1,54.0,0.02,61.0,4.1
2016-01-21,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,47.6,1.1,77.0,50.0,0.01,60.3,6.0
2016-01-22,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,46.7,0.6,77.0,50.0,0.0,59.3,4.1
2016-01-23,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,51.2,0.8,71.1,50.0,0.0,58.7,4.1
2016-01-24,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,44.3,1.3,64.9,46.9,0.0,57.0,6.0
2016-01-25,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,39.3,0.5,71.1,46.9,0.0,58.4,5.1
2016-01-26,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,35.7,0.9,73.0,46.9,0.0,59.1,4.1
2016-01-27,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,25.9,1.7,73.0,46.9,0.0,60.4,7.0
2016-01-28,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,29.2,0.7,73.9,50.0,0.0,60.8,6.0
2016-01-29,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,46.9,0.5,73.9,50.0,0.0,59.4,5.1
2016-01-30,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,52.9,0.8,72.0,50.0,0.0,60.1,4.1
2016-01-31,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,52.9,1.8,63.0,53.6,0.0,58.0,9.9
2016-02-01,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,28.5,5.6,59.0,43.0,0.43,50.8,13.0
2016-02-02,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,24.5,1.9,62.1,41.0,0.0,51.0,8.0
2016-02-03,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,34.3,1.0,64.9,41.0,0.0,53.2,5.1
2016-02-04,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,31.4,1.0,70.0,43.0,0.0,55.8,5.1
2016-02-05,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,28.2,0.8,75.9,46.0,0.0,59.3,4.1
2016-02-06,"LOS ANGELES DOWNTOWN USC, CA US",72287493134,34.0236,-118.2911,27.5,0.5,77.0,46.0,0.0,63.3,2.9
