DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD,value
31.3,0.4,70.0,43.0,0.0,57.0,4.1,1.1849999999999998
38.3,0.4,70.0,45.0,0.0,55.0,2.9,0.48833333333333334
48.0,0.8,66.0,46.9,0.0,56.0,5.1,0.6735416666666666
48.1,0.8,64.0,48.0,0.0,54.8,5.1,0.72075
48.2,0.7,63.0,48.0,0.0,55.1,5.1,0.4792105263157895
44.2,0.3,72.0,48.0,0.0,56.8,4.1,1.122340425531915
43.1,0.6,75.0,45.0,0.0,56.9,4.1,0.9564583333333333
44.7,0.5,75.0,45.0,0.0,55.5,2.9,1.0541666666666667
39.4,1.6,73.9,46.0,0.0,59.6,5.1,0.8337500000000001
28.0,1.0,73.9,46.9,0.0,59.2,5.1,0.396
31.8,0.5,73.9,46.0,0.0,57.8,6.0,0.7690909090909092
29.0,1.1,73.9,46.0,0.0,59.6,5.1,0.7454761904761904
33.2,0.7,75.0,48.0,0.0,59.2,4.1,1.1305128205128203
38.9,0.4,82.9,48.0,0.0,62.7,2.9,1.1873684210526314
36.7,0.0,88.0,50.0,0.0,67.0,999.9,1.4033333333333333
31.1,0.1,88.0,52.0,0.0,69.0,2.9,1.466818181818182
34.1,0.3,88.0,54.0,0.0,67.6,4.1,1.1489583333333333
33.7,0.3,86.0,53.1,0.0,65.5,4.1,0.7725
43.6,2.7,79.0,53.1,0.0,60.5,11.1,0.30000000000000004
46.3,1.9,71.1,52.0,0.0,58.5,5.1,0.57
43.9,0.9,64.0,50.0,0.0,53.1,6.0,0.25625
48.0,0.5,66.9,48.9,0.0,58.4,4.1,0.30111111111111116
43.0,1.2,69.1,50.0,0.0,57.2,7.0,0.6135294117647059
46.3,2.8,69.1,52.0,0.0,59.2,8.0,0.2555
31.6,3.3,71.1,48.9,0.0,61.4,7.0,0.17666666666666667
18.3,2.0,75.9,48.9,0.0,61.7,5.1,0.4135714285714286
19.5,1.9,75.9,48.9,0.0,60.8,7.0,0.7294444444444443
50.9,0.7,75.0,55.0,0.0,63.5,5.1,0.20666666666666667
49.9,1.5,77.0,55.0,0.0,63.7,6.0,0.2784615384615385
50.9,1.2,68.0,57.9,0.0,60.4,7.0,0.15555555555555556
47.0,1.6,64.0,54.0,0.0,59.1,5.1,0.17357142857142857
44.9,1.3,68.0,51.1,0.0,58.3,5.1,0.17714285714285713
44.1,2.3,68.0,55.0,0.0,59.6,7.0,0.15666666666666668
45.3,1.4,79.0,53.1,0.0,64.5,6.0,0.20375000000000001
52.4,1.5,72.0,60.1,0.0,64.7,5.1,0.22958333333333333
51.5,1.2,84.9,55.0,0.0,73.4,5.1,0.27
53.0,1.4,79.0,62.1,0.0,66.4,7.0,0.176
53.5,1.6,73.9,59.0,0.0,64.6,6.0,0.17833333333333334
56.2,1.4,75.0,62.1,0.0,66.0,6.0,0.25636363636363635
56.3,1.4,75.0,60.1,0.0,64.8,6.0,0.2336842105263158
55.9,1.4,78.1,60.1,0.0,66.8,7.0,0.1902777777777778
55.8,1.3,78.1,60.1,0.0,68.0,5.1,0.25857142857142856
54.8,1.5,78.1,60.1,0.0,67.2,7.0,0.17344827586206898
53.8,2.1,78.1,62.1,0.0,66.7,5.1,0.13694444444444442
52.9,1.7,75.0,62.1,0.0,64.5,6.0,0.12375000000000001
50.1,1.4,75.0,62.1,0.0,66.2,7.0,0.13454545454545455
46.6,2.2,75.0,57.9,0.0,67.3,8.9,0.190625
50.8,1.1,81.0,57.9,0.0,68.5,5.1,0.21615384615384617
51.2,1.3,82.9,59.0,0.0,71.0,6.0,0.3257894736842106
55.6,1.0,84.0,61.0,0.0,70.9,5.1,0.23833333333333334
56.6,1.1,84.9,61.0,0.0,72.5,6.0,0.2604761904761905
58.3,0.9,90.0,63.0,0.0,75.8,5.1,0.30214285714285716
59.5,0.7,90.0,64.9,0.0,77.0,5.1,0.255
60.7,0.8,88.0,66.9,0.0,73.8,4.1,0.28500000000000003
60.7,1.1,87.1,66.9,0.02,71.2,5.1,0.21000000000000002
60.3,1.4,82.0,66.0,0.0,70.4,4.1,0.22428571428571428
59.2,1.6,78.1,63.0,0.0,68.1,5.1,0.1831818181818182
58.3,1.3,82.0,63.0,0.0,69.1,6.0,0.2081578947368421
57.4,1.0,82.0,62.1,0.0,68.4,6.0,0.16027777777777777
57.9,1.9,81.0,62.1,0.0,69.4,7.0,0.19236842105263158
56.5,1.8,81.0,62.1,0.0,67.4,6.0,0.13611111111111113
56.7,1.9,79.0,61.0,0.0,68.5,8.9,0.13
57.9,0.7,81.0,61.0,0.0,70.3,5.1,0.19941176470588237
59.9,0.7,81.0,63.0,0.0,72.0,4.1,0.2542857142857143
61.2,1.0,81.0,64.9,0.0,72.3,5.1,0.21735294117647058
61.3,0.8,81.0,66.0,0.0,72.5,4.1,0.176875
60.6,0.8,81.0,66.0,0.0,71.5,4.1,0.19166666666666665
60.8,1.2,81.0,66.0,0.0,72.7,5.1,0.20227272727272727
60.8,0.8,82.9,64.0,0.0,70.6,6.0,0.24029411764705882
60.4,1.0,82.9,64.0,0.0,70.7,5.1,0.22714285714285712
59.7,1.2,81.0,64.0,0.0,70.8,5.1,0.164
58.0,1.0,81.0,62.1,0.0,68.6,5.1,0.17233333333333334
58.7,1.2,81.0,62.1,0.0,70.0,5.1,0.17225000000000001
59.8,1.3,81.0,63.0,0.0,71.4,5.1,0.12
61.1,1.1,84.0,64.9,0.0,73.3,5.1,0.226
62.9,1.0,86.0,68.0,0.0,76.0,5.1,0.26333333333333336
61.6,1.1,86.0,68.0,0.0,75.6,7.0,0.16
62.8,1.3,86.0,68.0,0.0,74.5,6.0,0.17916666666666667
63.6,1.3,82.9,69.1,0.0,73.1,7.0,0.22657894736842105
63.0,0.9,84.9,66.9,0.1,74.4,4.1,0.2017391304347826
62.9,1.7,84.9,66.9,0.0,74.8,5.1,0.18
61.4,1.7,84.0,66.9,0.0,73.0,6.0,0.20500000000000002
