DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD,value
31.3,0.4,70.0,43.0,0.0,57.0,4.1,0.017233333333333333
38.3,0.4,70.0,45.0,0.0,55.0,2.9,0.0185
48.0,0.8,66.0,46.9,0.0,56.0,5.1,0.017374999999999998
48.1,0.8,64.0,48.0,0.0,54.8,5.1,0.01745
48.2,0.7,63.0,48.0,0.0,55.1,5.1,0.02013157894736842
44.2,0.3,72.0,48.0,0.0,56.8,4.1,0.028833333333333336
43.1,0.6,75.0,45.0,0.0,56.9,4.1,0.03197916666666666
44.7,0.5,75.0,45.0,0.0,55.5,2.9,0.035895833333333335
39.4,1.6,73.9,46.0,0.0,59.6,5.1,0.028723404255319152
28.0,1.0,73.9,46.9,0.0,59.2,5.1,0.01615
31.8,0.5,73.9,46.0,0.0,57.8,6.0,0.026818181818181817
29.0,1.1,73.9,46.0,0.0,59.6,5.1,0.030261904761904764
33.2,0.7,75.0,48.0,0.0,59.2,4.1,0.03575
38.9,0.4,82.9,48.0,0.0,62.7,2.9,0.03505
36.7,0.0,88.0,50.0,0.0,67.0,999.9,0.03770833333333334
31.1,0.1,88.0,52.0,0.0,69.0,2.9,0.03704545454545454
34.1,0.3,88.0,54.0,0.0,67.6,4.1,0.03289583333333333
33.7,0.3,86.0,53.1,0.0,65.5,4.1,0.03178125
43.6,2.7,79.0,53.1,0.0,60.5,11.1,0.020555555555555556
46.3,1.9,71.1,52.0,0.0,58.5,5.1,0.027800000000000002
43.9,0.9,64.0,50.0,0.0,53.1,6.0,0.0078125
48.0,0.5,66.9,48.9,0.0,58.4,4.1,0.013633333333333332
43.0,1.2,69.1,50.0,0.0,57.2,7.0,0.02538888888888889
46.3,2.8,69.1,52.0,0.0,59.2,8.0,0.011899999999999999
31.6,3.3,71.1,48.9,0.0,61.4,7.0,0.008
18.3,2.0,75.9,48.9,0.0,61.7,5.1,0.022595238095238095
19.5,1.9,75.9,48.9,0.0,60.8,7.0,0.03044444444444444
50.9,0.7,75.0,55.0,0.0,63.5,5.1,0.007
49.9,1.5,77.0,55.0,0.0,63.7,6.0,0.010642857142857143
50.9,1.2,68.0,57.9,0.0,60.4,7.0,0.00831578947368421
47.0,1.6,64.0,54.0,0.0,59.1,5.1,0.006733333333333333
44.9,1.3,68.0,51.1,0.0,58.3,5.1,0.0063750000000000005
44.1,2.3,68.0,55.0,0.0,59.6,7.0,0.0069375
45.3,1.4,79.0,53.1,0.0,64.5,6.0,0.009375
52.4,1.5,72.0,60.1,0.0,64.7,5.1,0.009115384615384615
51.5,1.2,84.9,55.0,0.0,73.4,5.1,0.0115
53.0,1.4,79.0,62.1,0.0,66.4,7.0,0.006999999999999999
53.5,1.6,73.9,59.0,0.0,64.6,6.0,0.005333333333333333
56.2,1.4,75.0,62.1,0.0,66.0,6.0,0.009545454545454544
56.3,1.4,75.0,60.1,0.0,64.8,6.0,0.008815789473684211
55.9,1.4,78.1,60.1,0.0,66.8,7.0,0.008894736842105264
55.8,1.3,78.1,60.1,0.0,68.0,5.1,0.01307142857142857
54.8,1.5,78.1,60.1,0.0,67.2,7.0,0.00910344827586207
53.8,2.1,78.1,62.1,0.0,66.7,5.1,0.0043055555555555555
52.9,1.7,75.0,62.1,0.0,64.5,6.0,0.005750000000000001
50.1,1.4,75.0,62.1,0.0,66.2,7.0,0.006545454545454545
46.6,2.2,75.0,57.9,0.0,67.3,8.9,0.00825
50.8,1.1,81.0,57.9,0.0,68.5,5.1,0.012115384615384615
51.2,1.3,82.9,59.0,0.0,71.0,6.0,0.014894736842105261
55.6,1.0,84.0,61.0,0.0,70.9,5.1,0.008527777777777778
56.6,1.1,84.9,61.0,0.0,72.5,6.0,0.011904761904761904
58.3,0.9,90.0,63.0,0.0,75.8,5.1,0.0165
59.5,0.7,90.0,64.9,0.0,77.0,5.1,0.009
60.7,0.8,88.0,66.9,0.0,73.8,4.1,0.017375
60.7,1.1,87.1,66.9,0.02,71.2,5.1,0.0126
60.3,1.4,82.0,66.0,0.0,70.4,4.1,0.00986206896551724
59.2,1.6,78.1,63.0,0.0,68.1,5.1,0.006386363636363637
58.3,1.3,82.0,63.0,0.0,69.1,6.0,0.009263157894736841
57.4,1.0,82.0,62.1,0.0,68.4,6.0,0.007285714285714286
57.9,1.9,81.0,62.1,0.0,69.4,7.0,0.010777777777777777
56.5,1.8,81.0,62.1,0.0,67.4,6.0,0.0053055555555555555
56.7,1.9,79.0,61.0,0.0,68.5,8.9,0.0045000000000000005
