DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD,value
31.3,0.4,70.0,43.0,0.0,57.0,4.1,0.014933333333333333
38.3,0.4,70.0,45.0,0.0,55.0,2.9,0.017625
48.0,0.8,66.0,46.9,0.0,56.0,5.1,0.011291666666666667
48.1,0.8,64.0,48.0,0.0,54.8,5.1,0.012525
48.2,0.7,63.0,48.0,0.0,55.1,5.1,0.012526315789473684
44.2,0.3,72.0,48.0,0.0,56.8,4.1,0.006791666666666667
43.1,0.6,75.0,45.0,0.0,56.9,4.1,0.005458333333333333
44.7,0.5,75.0,45.0,0.0,55.5,2.9,0.0040416666666666665
39.4,1.6,73.9,46.0,0.0,59.6,5.1,0.0099375
28.0,1.0,73.9,46.9,0.0,59.2,5.1,0.02275
31.8,0.5,73.9,46.0,0.0,57.8,6.0,0.012090909090909091
29.0,1.1,73.9,46.0,0.0,59.6,5.1,0.010285714285714285
33.2,0.7,75.0,48.0,0.0,59.2,4.1,0.00445
38.9,0.4,82.9,48.0,0.0,62.7,2.9,0.008674999999999999
36.7,0.0,88.0,50.0,0.0,67.0,999.9,0.008749999999999999
31.1,0.1,88.0,52.0,0.0,69.0,2.9,0.00865909090909091
34.1,0.3,88.0,54.0,0.0,67.6,4.1,0.013291666666666667
33.7,0.3,86.0,53.1,0.0,65.5,4.1,0.01771875
43.6,2.7,79.0,53.1,0.0,60.5,11.1,0.022666666666666665
46.3,1.9,71.1,52.0,0.0,58.5,5.1,0.003
43.9,0.9,64.0,50.0,0.0,53.1,6.0,0.026
48.0,0.5,66.9,48.9,0.0,58.4,4.1,0.018866666666666664
43.0,1.2,69.1,50.0,0.0,57.2,7.0,0.013055555555555556
46.3,2.8,69.1,52.0,0.0,59.2,8.0,0.02115
31.6,3.3,71.1,48.9,0.0,61.4,7.0,0.036833333333333336
18.3,2.0,75.9,48.9,0.0,61.7,5.1,0.021023809523809524
19.5,1.9,75.9,48.9,0.0,60.8,7.0,0.01633333333333333
50.9,0.7,75.0,55.0,0.0,63.5,5.1,0.050166666666666665
49.9,1.5,77.0,55.0,0.0,63.7,6.0,0.03485714285714286
50.9,1.2,68.0,57.9,0.0,60.4,7.0,0.036000000000000004
47.0,1.6,64.0,54.0,0.0,59.1,5.1,0.04373333333333333
44.9,1.3,68.0,51.1,0.0,58.3,5.1,0.0361875
44.1,2.3,68.0,55.0,0.0,59.6,7.0,0.0400625
45.3,1.4,79.0,53.1,0.0,64.5,6.0,0.033375
52.4,1.5,72.0,60.1,0.0,64.7,5.1,0.03473076923076923
51.5,1.2,84.9,55.0,0.0,73.4,5.1,0.039
53.0,1.4,79.0,62.1,0.0,66.4,7.0,0.0517
53.5,1.6,73.9,59.0,0.0,64.6,6.0,0.03866666666666666
56.2,1.4,75.0,62.1,0.0,66.0,6.0,0.03759090909090909
