DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD,value
31.3,0.4,70.0,43.0,0.0,57.0,4.1,32.4
38.3,0.4,70.0,45.0,0.0,55.0,2.9,25.666666666666668
48.0,0.8,66.0,46.9,0.0,56.0,5.1,30.75
48.1,0.8,64.0,48.0,0.0,54.8,5.1,34.8
48.2,0.7,63.0,48.0,0.0,55.1,5.1,37.78947368421053
44.2,0.3,72.0,48.0,0.0,56.8,4.1,40.583333333333336
43.1,0.6,75.0,45.0,0.0,56.9,4.1,38.15
44.7,0.5,75.0,45.0,0.0,55.5,2.9,46.916666666666664
39.4,1.6,73.9,46.0,0.0,59.6,5.1,44.791666666666664
28.0,1.0,73.9,46.9,0.0,59.2,5.1,16.8
31.8,0.5,73.9,46.0,0.0,57.8,6.0,29.5
29.0,1.1,73.9,46.0,0.0,59.6,5.1,30.238095238095237
33.2,0.7,75.0,48.0,0.0,59.2,4.1,39.43478260869565
38.9,0.4,82.9,48.0,0.0,62.7,2.9,41.25
36.7,0.0,88.0,50.0,0.0,67.0,999.9,45.25
31.1,0.1,88.0,52.0,0.0,69.0,2.9,42.72727272727273
34.1,0.3,88.0,54.0,0.0,67.6,4.1,33.833333333333336
33.7,0.3,86.0,53.1,0.0,65.5,4.1,29.9375
43.6,2.7,79.0,53.1,0.0,60.5,11.1,33.77777777777778
46.3,1.9,71.1,52.0,0.0,58.5,5.1,29.6
43.9,0.9,64.0,50.0,0.0,53.1,6.0,15.625
48.0,0.5,66.9,48.9,0.0,58.4,4.1,29.4
43.0,1.2,69.1,50.0,0.0,57.2,7.0,38.333333333333336
46.3,2.8,69.1,52.0,0.0,59.2,8.0,29.0
31.6,3.3,71.1,48.9,0.0,61.4,7.0,29.0
18.3,2.0,75.9,48.9,0.0,61.7,5.1,26.571428571428573
19.5,1.9,75.9,48.9,0.0,60.8,7.0,22.22222222222222
50.9,1.2,68.0,57.9,0.0,60.4,7.0,37.333333333333336
47.0,1.6,64.0,54.0,0.0,59.1,5.1,37.0
44.9,1.3,68.0,51.1,0.0,58.3,5.1,29.75
44.1,2.3,68.0,55.0,0.0,59.6,7.0,20.0
45.3,1.4,79.0,53.1,0.0,64.5,6.0,23.375
52.4,1.5,72.0,60.1,0.0,64.7,5.1,38.15384615384615
51.5,1.2,84.9,55.0,0.0,73.4,5.1,30.0
53.0,1.4,79.0,62.1,0.0,66.4,7.0,42.6
53.5,1.6,73.9,59.0,0.0,64.6,6.0,31.666666666666668
56.2,1.4,75.0,62.1,0.0,66.0,6.0,38.90909090909091
56.3,1.4,75.0,60.1,0.0,64.8,6.0,25.105263157894736
55.9,1.4,78.1,60.1,0.0,66.8,7.0,23.473684210526315
55.8,1.3,78.1,60.1,0.0,68.0,5.1,32.142857142857146
54.8,1.5,78.1,60.1,0.0,67.2,7.0,19.066666666666666
53.8,2.1,78.1,62.1,0.0,66.7,5.1,15.722222222222221
52.9,1.7,75.0,62.1,0.0,64.5,6.0,13.636363636363637
50.1,1.4,75.0,62.1,0.0,66.2,7.0,11.272727272727273
46.6,2.2,75.0,57.9,0.0,67.3,8.9,33.875
50.8,1.1,81.0,57.9,0.0,68.5,5.1,37.69230769230769
51.2,1.3,82.9,59.0,0.0,71.0,6.0,41.10526315789474
55.6,1.0,84.0,61.0,0.0,70.9,5.1,27.11111111111111
56.6,1.1,84.9,61.0,0.0,72.5,6.0,26.047619047619047
58.3,0.9,90.0,63.0,0.0,75.8,5.1,35.666666666666664
59.5,0.7,90.0,64.9,0.0,77.0,5.1,29.0
60.7,0.8,88.0,66.9,0.0,73.8,4.1,46.75
60.7,1.1,87.1,66.9,0.02,71.2,5.1,39.25
60.3,1.4,82.0,66.0,0.0,70.4,4.1,31.0
59.2,1.6,78.1,63.0,0.0,68.1,5.1,19.954545454545453
58.3,1.3,82.0,63.0,0.0,69.1,6.0,27.0
57.4,1.0,82.0,62.1,0.0,68.4,6.0,21.38888888888889
57.9,1.9,81.0,62.1,0.0,69.4,7.0,23.125
56.5,1.8,81.0,62.1,0.0,67.4,6.0,15.470588235294118
56.7,1.9,79.0,61.0,0.0,68.5,8.9,21.75
57.9,0.7,81.0,61.0,0.0,70.3,5.1,29.647058823529413
59.9,0.7,81.0,63.0,0.0,72.0,4.1,31.642857142857142
61.2,1.0,81.0,64.9,0.0,72.3,5.1,34.470588235294116
61.3,0.8,81.0,66.0,0.0,72.5,4.1,33.125
60.6,0.8,81.0,66.0,0.0,71.5,4.1,30.0
60.8,1.2,81.0,66.0,0.0,72.7,5.1,27.90909090909091
60.8,0.8,82.9,64.0,0.0,70.6,6.0,27.470588235294116
60.4,1.0,82.9,64.0,0.0,70.7,5.1,25.571428571428573
59.7,1.2,81.0,64.0,0.0,70.8,5.1,25.05
58.0,1.0,81.0,62.1,0.0,68.6,5.1,52.785714285714285
58.7,1.2,81.0,62.1,0.0,70.0,5.1,24.894736842105264
61.1,1.1,84.0,64.9,0.0,73.3,5.1,36.2
62.9,1.0,86.0,68.0,0.0,76.0,5.1,38.666666666666664
61.6,1.1,86.0,68.0,0.0,75.6,7.0,27.0
62.8,1.3,86.0,68.0,0.0,74.5,6.0,33.166666666666664
63.6,1.3,82.9,69.1,0.0,73.1,7.0,31.36842105263158
63.0,0.9,84.9,66.9,0.1,74.4,4.1,26.869565217391305
62.9,1.7,84.9,66.9,0.0,74.8,5.1,23.333333333333332
61.4,1.7,84.0,66.9,0.0,73.0,6.0,34.0
61.5,1.5,84.9,66.0,0.0,73.1,5.1,26.0
61.2,1.8,88.0,66.0,0.0,74.6,6.0,21.45
59.7,1.1,88.0,66.9,0.0,76.9,7.0,27.11111111111111
60.0,1.4,87.1,68.0,0.0,75.7,6.0,26.38095238095238
61.2,1.0,90.0,68.0,0.0,75.7,5.1,46.2
61.2,1.2,90.0,68.0,0.0,76.3,4.1,36.34782608695652
63.1,0.9,87.1,69.1,0.0,75.3,4.1,42.19047619047619
62.0,0.8,86.0,66.9,0.0,72.5,5.1,38.8125
61.4,1.6,82.9,66.9,0.0,71.9,5.1,28.0
60.7,0.4,84.9,66.9,0.0,74.2,4.1,36.75
60.6,1.2,82.9,66.9,0.0,72.2,7.0,36.708333333333336
60.6,1.5,80.1,66.2,0.0,72.2,4.1,29.0
60.6,1.1,86.0,66.0,0.0,72.8,6.0,42.0
60.8,1.4,86.0,64.0,0.0,72.2,5.1,24.458333333333332
60.0,1.1,89.1,64.0,0.0,74.2,4.1,27.5
58.2,0.7,91.9,66.0,0.0,78.1,5.1,32.791666666666664
58.5,0.9,91.9,69.1,0.0,77.5,5.1,27.307692307692307
61.7,1.4,90.0,68.0,0.0,75.2,6.0,25.583333333333332
60.4,0.9,88.0,66.9,0.0,74.2,5.1,27.458333333333332
61.2,0.7,88.0,66.9,0.0,76.4,4.1,30.833333333333332
64.2,1.3,89.1,69.1,0.0,75.2,6.0,27.25
63.4,1.4,86.0,70.0,0.0,73.6,4.1,19.375
61.3,1.3,79.0,66.9,0.0,71.8,6.0,13.0
60.3,1.6,79.0,66.0,0.0,70.7,5.1,19.5
60.6,0.8,77.0,64.9,0.0,69.1,4.1,15.25
59.1,1.3,75.9,64.0,0.0,68.8,6.0,21.75
58.3,1.6,77.0,63.0,0.0,68.3,7.0,28.94736842105263
59.0,1.4,78.1,61.0,0.0,68.9,5.1,24.916666666666668
59.9,1.2,82.9,61.0,0.0,70.3,4.1,28.083333333333332
58.2,1.3,91.0,63.0,0.0,74.0,7.0,39.72222222222222
58.2,0.9,91.0,62.1,0.0,72.7,5.1,48.791666666666664
60.0,1.1,84.9,60.1,0.0,69.5,7.0,30.5
60.3,1.1,81.0,60.1,0.0,68.7,4.1,26.541666666666668
60.8,1.5,81.0,61.0,0.0,69.2,5.1,37.25
60.0,1.0,81.0,63.0,0.0,68.2,5.1,33.875
60.2,1.0,77.0,64.0,0.0,69.9,4.1,32.333333333333336
59.6,0.9,77.0,64.9,0.0,69.2,6.0,27.695652173913043
59.3,1.6,77.0,63.0,0.0,67.6,6.0,34.333333333333336
56.9,1.5,88.0,61.0,0.0,71.7,7.0,34.333333333333336
53.7,1.1,93.9,61.0,0.0,74.7,7.0,30.208333333333332
61.0,1.2,93.9,62.1,0.0,75.0,5.1,37.5
63.9,0.8,86.0,66.9,0.0,74.1,6.0,36.75
63.1,1.1,84.0,64.9,0.0,71.2,6.0,35.125
61.7,1.8,89.1,64.0,0.0,72.3,6.0,24.041666666666668
61.3,1.5,89.1,64.0,0.0,72.4,4.1,23.75
59.7,1.2,88.0,64.9,0.01,74.9,6.0,26.708333333333332
59.4,0.9,88.0,63.0,0.0,72.1,4.1,34.63636363636363
57.3,1.2,84.9,59.0,0.0,67.6,5.1,32.73913043478261
56.5,0.8,78.1,57.0,0.0,65.5,5.1,33.708333333333336
58.0,1.5,80.1,57.0,0.0,66.6,6.0,38.541666666666664
56.1,1.3,75.9,61.0,0.0,65.2,5.1,32.421052631578945
55.8,1.2,75.0,60.1,0.0,65.5,4.1,33.95652173913044
55.1,1.7,75.0,59.0,0.0,64.9,6.0,24.91304347826087
56.5,1.2,75.9,59.0,0.0,65.4,7.0,29.916666666666668
58.4,0.6,84.0,59.0,0.0,69.2,5.1,36.95
60.3,1.1,93.9,62.1,0.0,75.0,5.1,43.111111111111114
58.7,0.6,93.9,64.0,0.0,75.2,5.1,37.40909090909091
58.1,0.5,88.0,63.0,0.0,71.3,4.1,35.75
57.8,0.9,81.0,60.1,0.0,65.7,6.0,32.416666666666664
58.6,1.6,75.9,60.1,0.0,66.5,7.0,26.916666666666668
57.9,1.4,73.9,61.0,0.0,64.5,5.1,22.666666666666668
57.4,0.9,69.1,63.0,0.0,64.5,5.1,24.105263157894736
57.7,0.7,71.1,62.6,0.0,66.0,6.0,21.5
56.4,1.5,73.0,59.0,0.0,65.6,6.0,29.416666666666668
53.0,1.0,86.0,57.9,0.0,69.5,6.0,39.541666666666664
45.7,0.9,90.0,57.9,0.0,72.0,5.1,41.65217391304348
50.5,1.1,90.0,57.9,0.0,72.8,6.0,42.25
45.2,0.5,93.0,57.9,0.0,75.3,2.9,37.083333333333336
49.3,0.8,93.0,61.0,0.0,73.7,4.1,38.958333333333336
58.4,1.5,86.0,66.0,0.12,71.7,5.1,26.608695652173914
59.5,1.2,81.0,62.1,0.02,66.7,5.1,27.041666666666668
58.6,0.7,73.9,62.1,0.0,65.9,4.1,25.125
56.7,0.9,71.1,62.1,0.01,65.1,6.0,14.458333333333334
52.0,1.2,71.1,55.9,0.0,63.2,5.1,22.166666666666668
50.5,0.5,79.0,55.0,0.0,65.4,4.1,29.217391304347824
53.6,1.6,79.0,55.0,0.0,64.3,7.0,35.25
22.9,4.1,73.0,57.0,0.0,63.8,9.9,111.5
30.3,1.2,73.0,51.1,0.0,61.3,6.0,41.166666666666664
39.5,1.1,75.9,51.1,0.0,62.6,6.0,47.5
36.7,0.7,88.0,52.0,0.0,68.0,7.0,43.208333333333336
