DEWP,WDSP,MAX,MIN,PRCP,TEMP,MXSPD,value
31.3,0.4,70.0,43.0,0.0,57.0,4.1,0.00013333333333333334
38.3,0.4,70.0,45.0,0.0,55.0,2.9,8.333333333333333e-05
48.0,0.8,66.0,46.9,0.0,56.0,5.1,0.0
48.1,0.8,64.0,48.0,0.0,54.8,5.1,0.0
48.2,0.7,63.0,48.0,0.0,55.1,5.1,0.0
44.2,0.3,72.0,48.0,0.0,56.8,4.1,4.1666666666666665e-05
43.1,0.6,75.0,45.0,0.0,56.9,4.1,0.00020833333333333335
44.7,0.5,75.0,45.0,0.0,55.5,2.9,0.0005
39.4,1.6,73.9,46.0,0.0,59.6,5.1,0.0
28.0,1.0,73.9,46.9,0.0,59.2,5.1,0.0
31.8,0.5,73.9,46.0,0.0,57.8,6.0,0.00013636363636363637
29.0,1.1,73.9,46.0,0.0,59.6,5.1,0.00019047619047619048
33.2,0.7,75.0,48.0,0.0,59.2,4.1,0.0004736842105263158
38.9,0.4,82.9,48.0,0.0,62.7,2.9,0.00045000000000000004
36.7,0.0,88.0,50.0,0.0,67.0,999.9,0.0005833333333333334
31.1,0.1,88.0,52.0,0.0,69.0,2.9,0.0006818181818181818
34.1,0.3,88.0,54.0,0.0,67.6,4.1,0.0002916666666666667
33.7,0.3,86.0,53.1,0.0,65.5,4.1,0.00025
43.6,2.7,79.0,53.1,0.0,60.5,11.1,0.0
46.3,1.9,71.1,52.0,0.0,58.5,5.1,0.0
43.9,0.9,64.0,50.0,0.0,53.1,6.0,0.0
48.0,0.5,66.9,48.9,0.0,58.4,4.1,0.0
43.0,1.2,69.1,50.0,0.0,57.2,7.0,0.0
46.3,2.8,69.1,52.0,0.0,59.2,8.0,0.0
31.6,3.3,71.1,48.9,0.0,61.4,7.0,0.0
18.3,2.0,75.9,48.9,0.0,61.7,5.1,0.0
19.5,1.9,75.9,48.9,0.0,60.8,7.0,0.0
50.9,0.7,75.0,55.0,0.0,63.5,5.1,0.001
49.9,1.5,77.0,55.0,0.0,63.7,6.0,0.001
50.9,1.2,68.0,57.9,0.0,60.4,7.0,0.0
47.0,1.6,64.0,54.0,0.0,59.1,5.1,0.0
44.9,1.3,68.0,51.1,0.0,58.3,5.1,0.0
44.1,2.3,68.0,55.0,0.0,59.6,7.0,0.00025
45.3,1.4,79.0,53.1,0.0,64.5,6.0,0.000125
52.4,1.5,72.0,60.1,0.0,64.7,5.1,0.00046153846153846153
51.5,1.2,84.9,55.0,0.0,73.4,5.1,0.001
53.0,1.4,79.0,62.1,0.0,66.4,7.0,0.0006000000000000001
53.5,1.6,73.9,59.0,0.0,64.6,6.0,0.0
56.2,1.4,75.0,62.1,0.0,66.0,6.0,0.0
56.3,1.4,75.0,60.1,0.0,64.8,6.0,0.00010526315789473685
55.9,1.4,78.1,60.1,0.0,66.8,7.0,5.882352941176471e-05
55.8,1.3,78.1,60.1,0.0,68.0,5.1,0.0005714285714285715
54.8,1.5,78.1,60.1,0.0,67.2,7.0,0.0003333333333333333
53.8,2.1,78.1,62.1,0.0,66.7,5.1,5.555555555555556e-05
52.9,1.7,75.0,62.1,0.0,64.5,6.0,8.333333333333333e-05
50.1,1.4,75.0,62.1,0.0,66.2,7.0,0.00036363636363636367
46.6,2.2,75.0,57.9,0.0,67.3,8.9,0.0005
50.8,1.1,81.0,57.9,0.0,68.5,5.1,0.0007692307692307692
51.2,1.3,82.9,59.0,0.0,71.0,6.0,0.001
55.6,1.0,84.0,61.0,0.0,70.9,5.1,0.0006666666666666666
56.6,1.1,84.9,61.0,0.0,72.5,6.0,0.0006190476190476191
58.3,0.9,90.0,63.0,0.0,75.8,5.1,0.001
59.5,0.7,90.0,64.9,0.0,77.0,5.1,0.001
60.7,0.8,88.0,66.9,0.0,73.8,4.1,0.001
60.7,1.1,87.1,66.9,0.02,71.2,5.1,0.001
60.3,1.4,82.0,66.0,0.0,70.4,4.1,4.761904761904762e-05
59.2,1.6,78.1,63.0,0.0,68.1,5.1,0.00018181818181818183
58.3,1.3,82.0,63.0,0.0,69.1,6.0,0.00015789473684210527
57.4,1.0,82.0,62.1,0.0,68.4,6.0,0.00011111111111111112
57.9,1.9,81.0,62.1,0.0,69.4,7.0,0.0006315789473684211
56.5,1.8,81.0,62.1,0.0,67.4,6.0,5.555555555555556e-05
56.7,1.9,79.0,61.0,0.0,68.5,8.9,0.00075
57.9,0.7,81.0,61.0,0.0,70.3,5.1,0.0007058823529411765
59.9,0.7,81.0,63.0,0.0,72.0,4.1,0.0009285714285714287
61.2,1.0,81.0,64.9,0.0,72.3,5.1,0.0007647058823529412
61.3,0.8,81.0,66.0,0.0,72.5,4.1,0.000625
60.6,0.8,81.0,66.0,0.0,71.5,4.1,0.001
60.8,1.2,81.0,66.0,0.0,72.7,5.1,4.545454545454546e-05
60.8,0.8,82.9,64.0,0.0,70.6,6.0,0.00023529411764705883
60.4,1.0,82.9,64.0,0.0,70.7,5.1,0.0004285714285714286
59.7,1.2,81.0,64.0,0.0,70.8,5.1,0.0006000000000000001
58.0,1.0,81.0,62.1,0.0,68.6,5.1,0.0008666666666666667
58.7,1.2,81.0,62.1,0.0,70.0,5.1,0.0002631578947368421
61.1,1.1,84.0,64.9,0.0,73.3,5.1,0.0008
62.9,1.0,86.0,68.0,0.0,76.0,5.1,0.0011111111111111111
61.6,1.1,86.0,68.0,0.0,75.6,7.0,0.001
62.8,1.3,86.0,68.0,0.0,74.5,6.0,0.001
63.6,1.3,82.9,69.1,0.0,73.1,7.0,0.0006315789473684211
63.0,0.9,84.9,66.9,0.1,74.4,4.1,0.0004347826086956522
62.9,1.7,84.9,66.9,0.0,74.8,5.1,0.0006000000000000001
61.4,1.7,84.0,66.9,0.0,73.0,6.0,0.001
61.5,1.5,84.9,66.0,0.0,73.1,5.1,0.0009090909090909091
61.2,1.8,88.0,66.0,0.0,74.6,6.0,0.0006000000000000001
59.7,1.1,88.0,66.9,0.0,76.9,7.0,0.0008888888888888889
60.0,1.4,87.1,68.0,0.0,75.7,6.0,0.0007619047619047619
61.2,1.0,90.0,68.0,0.0,75.7,5.1,0.001
61.2,1.2,90.0,68.0,0.0,76.3,4.1,0.0010434782608695653
63.1,0.9,87.1,69.1,0.0,75.3,4.1,0.0010476190476190477
62.0,0.8,86.0,66.9,0.0,72.5,5.1,0.000625
